modelo,mae,rmse,qwk,f1,n,versao
llama CoT (Base),139.3548387096774,184.00561001265433,-0.1247365723073417,0.16923796166432914,31,Base
llama CoT (Fine-tuned),293.3333333333333,320.0,-0.11111111111111116,0.0,6,Fine-tuned
mistral CoT (Base),249.4,284.8964724246336,-0.0023612026801183017,0.005714285714285714,50,Base
mistral CoT (Fine-tuned),211.1627906976744,248.1559899515569,-0.005464242635625061,0.03033367037411527,43,Fine-tuned
qwen CoT (Base),220.41666666666666,266.6536455154264,-0.0001561524047470897,0.05555555555555555,48,Base
qwen CoT (Fine-tuned),257.2,283.4783942384322,-0.005970820024717716,0.0,50,Fine-tuned
gemma2 CoT (Base),100.6,119.64113005150027,0.09693744001396043,0.05,50,Base
gemma2 CoT (Fine-tuned),129.79591836734693,165.12209459199875,-0.010371650821089151,0.11278195488721804,49,Fine-tuned
