arquivo,alvo,n,n_dropado,mae,rmse,pearson,spearman,qwk,acc_exata,acc_adjacente,vies,media_humano,media_modelo
results/v5_experimentos_v2/ck1_gemma.csv,total,1297,0,283.38473400154203,315.4445163070002,0.39675644620511896,0.3858169037970434,0.08191269236979226,0.016191210485736313,0.052428681572860444,-276.8774094063223,640.9560524286816,364.0786430223593
results/v5_experimentos_v2/ck2_gemma.csv,total,1297,0,201.35697764070932,239.53050969186776,0.43977236575948875,0.43183305247142506,0.2512605560780292,0.05088666152659985,0.16037008481110254,-178.93600616808018,640.9560524286816,462.02004626060136
results/v5_experimentos_v2/ck1_llama.csv,total,1259,38,191.5647339158062,236.76197986000193,0.10433554276252796,0.06994675233587891,0.0567662199486072,0.0698967434471803,0.20810166799046861,-149.78554408260524,642.1286735504368,492.3431294678316
results/v5_experimentos_v2/ck2_llama.csv,total,1297,0,147.74094063222822,183.95886369301672,0.22730352185619843,0.20405339535830447,0.20593257105132545,0.06013878180416345,0.2544333076329992,-41.71164225134927,640.9560524286816,599.2444101773323
results/v5_experimentos_v2/ck1_mistral.csv,total,1296,1,137.77777777777777,171.2107393943225,0.2000483491152518,0.15504664730326884,0.11400449885213693,0.06790123456790123,0.2692901234567901,49.98456790123457,640.7716049382716,690.7561728395061
results/v5_experimentos_v2/ck2_mistral.csv,total,1297,0,312.73708558211257,353.585009991474,0.16229754843026933,0.16173521345302758,0.046728848531902956,0.025443330763299923,0.07016191210485737,-302.43639167309175,640.9560524286816,338.5196607555898
results/v5_experimentos_v2/ck1_qwen.csv,total,1293,4,125.66898685228152,161.8357086586922,0.3739660605651947,0.3752324349161534,0.3476843709578695,0.10827532869296211,0.3062645011600928,16.589327146171694,640.8971384377417,657.4864655839134
results/v5_experimentos_v2/ck2_qwen.csv,total,1297,0,172.47494217424827,212.3924735891479,0.3383356189166827,0.37609352126019074,0.24139336557482172,0.07632999228989977,0.18889745566692367,-125.44333076329993,640.9560524286816,515.5127216653816
results/v5_experimentos_v2/ck1_gem.csv,total,499,1,113.90781563126252,143.48650373295396,0.2885373262539189,0.2725196131583761,0.22949624388680212,0.12625250501002003,0.32665330661322645,-72.86573146292585,520.3206412825651,447.4549098196393
results/v6_experimentos_v3/ck_qwen72b_exp4_fold0 - 300.csv,total,299,1,144.0267558528428,182.2681328175682,0.3445248680595751,0.3160035538394855,0.3353752769523406,0.12709030100334448,0.25418060200668896,-29.48494983277592,589.2976588628762,559.8127090301003
