calibrador,tipo,qwk,mae,rmse,pearson,spearman,acc_adjacente,vies
bruto,out-of-fold,0.5779852190368708,119.46127946127946,157.30045881507894,0.615055510544685,0.6334320559018591,0.3602693602693603,-59.12457912457913
bruto,oraculo,0.5779852190368708,119.46127946127946,157.30045881507894,0.615055510544685,0.6334320559018591,0.3602693602693603,-59.12457912457913
vies,out-of-fold,0.5980613096332057,112.77294356129109,146.33313224702016,0.6119078006567198,0.6245191102668862,0.3265993265993266,0.06623367830433984
vies,oraculo,0.6105801472231918,112.49282952986657,145.68682136645862,0.6148529587196265,0.6334320559018591,0.3333333333333333,-0.12878504460987222
afim,out-of-fold,0.5351424694708278,102.20811946640353,134.5892357953294,0.6055671705940014,0.6234939137273017,0.3771043771043771,0.3103933905342476
afim,oraculo,0.5497158490365325,101.37419537977709,133.3276328199295,0.6150555105446854,0.6334320559018591,0.39057239057239057,6.736997790910579e-14
hist,out-of-fold,0.599571205675351,117.66554433221098,152.56774666148073,0.6042564746857358,0.626318882016758,0.31986531986531985,21.054994388327724
hist,oraculo,0.6081755423213162,113.8047138047138,149.21568237058688,0.6111653644289247,0.633025259377344,0.3265993265993266,16.565656565656564
isotonica,out-of-fold,0.5247199304144883,105.19440263615019,138.2974303959582,0.5786955193735969,0.5914264087764636,0.3602693602693603,0.5130437911934295
isotonica,oraculo,0.5620181472526962,100.04886052316883,131.44876934277556,0.6290406173213835,0.6352476577965018,0.37373737373737376,1.8373630338847037e-14
