calibrador,tipo,qwk,mae,rmse,pearson,spearman,acc_adjacente,vies
bruto,out-of-fold,0.08191269236979226,283.38473400154203,315.4445163070002,0.39675644620511896,0.3858169037970434,0.052428681572860444,-276.8774094063223
bruto,oraculo,0.08191269236979226,283.38473400154203,315.4445163070002,0.39675644620511896,0.3858169037970434,0.052428681572860444,-276.8774094063223
vies,out-of-fold,0.2582390605326349,122.87913759329344,153.1660076745063,0.3693709370096706,0.3514444936220554,0.2945258288357749,-1.5246633735339339
vies,oraculo,0.2763558378223241,121.14249775146845,151.14279019722073,0.39675644620511896,0.3858169037970434,0.3037779491133385,5.6098362484066504e-15
afim,out-of-fold,0.24828397725044127,123.16502921447722,153.3412753136169,0.3654598205107907,0.3498045613244437,0.2937548188126446,-1.5788224529075194
afim,oraculo,0.25192366587315684,121.20833855985435,151.1173326424813,0.39675644620511874,0.3858169037970434,0.30223592906707786,-8.414754372609976e-14
hist,out-of-fold,0.3885248177242311,143.54664610639938,181.84779320095856,0.39120813362604906,0.37267215097082795,0.26599845797995375,19.07478797224364
hist,oraculo,0.4014943523207296,140.20046260601387,178.76126488327301,0.4065656062242406,0.3864991066624102,0.28064764841942946,25.41249036237471
isotonica,out-of-fold,0.2548805159367228,122.91277140323217,153.22650071568697,0.37081929828381094,0.3406591410497737,0.28835774865073244,-1.8998767185538015
isotonica,oraculo,0.305369710699782,119.41144782845474,148.9336862176125,0.42613429978135314,0.40047743355417337,0.3091750192752506,0.0
