modelo,mae,rmse,qwk,f1,n
Qwen 2.5 7B (Zero-Shot),125.66898685228152,161.8357086586922,0.3476843709578695,0.09472137257011476,1293
Gemma 2 9B (Few-Shot),201.35697764070932,239.53050969186776,0.2518610883989255,0.03278426103578309,1297
Qwen 2.5 7B (Few-Shot),172.47494217424827,212.3924735891479,0.24139336557482172,0.040479842933731296,1297
Llama 3.1 8B (Few-Shot),147.74094063222822,183.95886369301672,0.20582668758940403,0.019124715049275993,1297
Mistral 7B (Zero-Shot),137.77777777777777,171.2107393943225,0.1140044988521367,0.04012160744513513,1296
Gemma 2 9B (Zero-Shot),283.38473400154203,315.4445163070002,0.08191269236979215,0.006044011721430687,1297
Llama 3.1 8B (Zero-Shot),191.5647339158062,236.76197986000193,0.05676621994860742,0.04571522708148167,1259
Mistral 7B (Few-Shot),312.73708558211257,353.585009991474,0.04672884853190307,0.018504098824094393,1297
